invoice_nr;item_id;catalog_nr;etd;eta;status;origin;month;year;brand;qty;total_cost
26SIFJXN0001281 ;PF410015001801;PFI NB-148;29/06/2026;13/07/2026;Transit;China;Jul;2026;PFI;17998;7739,14
26FAV01577;PF100001001801;PFI 30202;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;400;304
26FAV01577;PF100004001801;PFI 30205;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;80;69,6
26FAV01577;PF100006001801;PFI 30207;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;336;430,08
26FAV01577;PF100009001801;PFI 30210;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;270;537,3
26FAV01577;PF100016001801;PFI 30217;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;104,4
26FAV01577;PF100017001801;PFI 30218;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;15;92,55
26FAV01577;PF100019001801;PFI 30220;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;12;144,96
26FAV01577;PF100026001801;PFI 30307D;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;360;792
26FAV01577;PF100029001801;PFI 30309;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;60;175,2
26FAV01577;PF100032001801;PFI 30313;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;8;50,88
26FAV01577;PF100035001801;PFI 30303D;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;380;338,2
26FAV01577;PF100042001801;PFI 32209;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;19,9
26FAV01577;PF100044001801;PFI 32211;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;190;516,8
26FAV01577;PF100046001801;PFI 32213;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;100;427
26FAV01577;PF100048001801;PFI 32215;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;258;1204,86
26FAV01577;PF100062001801;PFI 32311;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;6;34,62
26FAV01577;PF100074001801;PFI 33020;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;16;148,8
26FAV01577;PF100079001801;PFI 33110;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;52,2
26FAV01577;PF100082001801;PFI 33113;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;74;294,52
26FAV01577;PF100092001801;PFI 33209;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;28,8
26FAV01577;PF100094001801;PFI 33211;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;84;305,76
26FAV01577;PF100097001801;PFI 33215;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;12;72,48
26FAV01577;PF100105001801;PFI 2872/20;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;30;68,7
26FAV01577;PF100106001801;PFI 11590/20;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;231;205,59
26FAV01577;PF100107001801;PFI 14125A/276;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;60,4
26FAV01577;PF100119001801;PFI 15123/245;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;49,2
26FAV01577;PF100122001801;PFI 17887/31;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;60;133,2
26FAV01577;PF100126001801;PFI 25580/20;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;140;267,4
26FAV01577;PF100133001801;PFI 25877/21;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;18,5
26FAV01577;PF100139001801;PFI 28580/21;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;110;332,2
26FAV01577;PF100143001801;PFI 28985/20;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;27,5
26FAV01577;PF100145001801;PFI 29585/20;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;180;610,2
26FAV01577;PF100148001801;PFI 29685/20;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;120;403,2
26FAV01577;PF100154001801;PFI 32006X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;65;68,9
26FAV01577;PF100155001801;PFI 32007X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;48,4
26FAV01577;PF100164001801;PFI 32014X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;116
26FAV01577;PF100165001801;PFI 32015X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;44;154
26FAV01577;PF100166001801;PFI 32016X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;36;153,36
26FAV01577;PF100167001801;PFI 32017X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;162;711,18
26FAV01577;PF100175001801;PFI 33287/462;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;110;482,9
26FAV01577;PF100177001801;PFI 368A/2A;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;130;312
26FAV01577;PF100178001801;PFI 37425/625;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;115;678,5
26FAV01577;PF100179001801;PFI 37431A/625;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;55;339,35
26FAV01577;PF100186001801;PFI 395A/4A;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;132
26FAV01577;PF100192001801;PFI 3980/20;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;280;1201,2
26FAV01577;PF100197001801;PFI 469/453X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;34,3
26FAV01577;PF100200001801;PFI 55200C/437;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;104
26FAV01577;PF100203001801;PFI 575/572;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;17;121,21
26FAV01577;PF100217001801;PFI HM807046/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;90;494,1
26FAV01577;PF100221001801;PFI HM89249/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;90;258,3
26FAV01577;PF100226001801;PFI JF7049A/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;6;61,08
26FAV01577;PF100230001801;PFI JM205149/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;50;165
26FAV01577;PF100231001801;PFI JM207049A/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;126,4
26FAV01577;PF100233001801;PFI JP12049/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;195;1472,25
26FAV01577;PF100234001801;PFI L44643/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;96;70,08
26FAV01577;PF100321001801;PFI JM716649/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;50;302
26FAV01577;PF100344001801;PFI 47686/20;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;72;415,44
26FAV01577;PF110002001801;PFI 518713;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;15;129,15
26FAV01577;PF110014001801;PTR070904;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;30;131,7
26FAV01577;PF120058001801;PW55900054CSHDM;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;172,8
26FAV01577;PF150082001801;PHU57000;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;25;418,25
26FAV01577;PF200017001801;PFI 16003 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;4,2
26FAV01577;PF200018001801;PFI 16004 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;60;17,4
26FAV01577;PF200022001801;PFI 5201-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;100;139
26FAV01577;PF200023001801;PFI 5202-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;59,2
26FAV01577;PF200026001801;PFI 5204-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;120;217,2
26FAV01577;PF200031001801;PFI 5208-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;140;480,2
26FAV01577;PF200033001801;PFI 5210-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;320;1632
26FAV01577;PF200039001801;PFI 5308-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;150;790,5
26FAV01577;PF200040001801;PFI 5309-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;62,2
26FAV01577;PF200041001801;PFI 5310-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;30;338,7
26FAV01577;PF200042001801;PFI 60/22-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;31,2
26FAV01577;PF200047001801;PFI 6001-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;200;36
26FAV01577;PF200057001801;PFI 6000-ZZ C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;100;19
26FAV01577;PF200066001801;PFI 6006-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;2320;1183,2
26FAV01577;PF200068001801;PFI 6007-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;420;243,6
26FAV01577;PF200071001801;PFI 6010-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;120;146,4
26FAV01577;PF200072001801;PFI 6011-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;50;87,5
26FAV01577;PF200074001801;PFI 6013-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;30;62,4
26FAV01577;PF200076001801;PFI 6015-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;110;350,9
26FAV01577;PF200079001801;PFI 607-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;836;167,2
26FAV01577;PF200084001801;PFI 62/22-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;520;332,8
26FAV01577;PF200098001801;PFI 6201-ZZ C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;620;142,6
26FAV01577;PF200100001801;PFI 6202-2RS 1/2 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;140;43,4
26FAV01577;PF200103001801;PFI 6202-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;1500;360
26FAV01577;PF200107001801;PFI 6202-2RS D16 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;200;60
26FAV01577;PF200112001801;PFI 6203-2RS 3/4 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;18
26FAV01577;PF200118001801;PFI 6204-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;4840;1839,2
26FAV01577;PF200124001801;PFI 6205-2RS D1 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;1400;812
26FAV01577;PF200129001801;PFI 6205-ZZ C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;140;63
26FAV01577;PF200146001801;PFI 6213-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;36;128,88
26FAV01577;PF200154001801;PFI 62207-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;64
26FAV01577;PF200161001801;PFI 62304-2RS D17 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;120;114
26FAV01577;PF200163001801;PFI 62306-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;160;260,8
26FAV01577;PF200211001801;PFI 6308-ZZ C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;21,6
26FAV01577;PF200218001801;PFI 6313-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;72;437,76
26FAV01577;PF200221001801;PFI 6403-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;420;709,8
26FAV01577;PF200223001801;PFI 6801-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;285;68,4
26FAV01577;PF200224001801;PFI 6802-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;6100;1586
26FAV01577;PF200227001801;PFI 6805-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;276;160,08
26FAV01577;PF200237001801;PFI 6902-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;160;41,6
26FAV01577;PF200238001801;PFI 6903-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;260;80,6
26FAV01577;PF200241001801;PFI 6905-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;148;74
26FAV01577;PF200243001801;PFI 6907-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;100;69
26FAV01577;PF200256001801;PFI R8-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;2200;528
26FAV01577;PF200275001801;PFI 6001-2RS C3.EXF;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;400;44
26FAV01577;PF200277001801;PFI 6003-2RS C3.EXF;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;480;67,2
26FAV01577;PF200294001801;PFI BB1B446740;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;80;167,2
26FAV01577;PF210003001801;PFI B17-99D;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;160;129,6
26FAV01577;PF210007001801;PFI 6203LHA-15;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;60;28,2
26FAV01577;PF210008001801;PFI SC03A76LVAX;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;120;194,4
26FAV01577;PF210020001801;PFI B10-50TT;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;20
26FAV01577;PF210041001801;PFI B8-85D;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;100;43
26FAV01577;PF210058001801;PF110415;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;24180;34335,6
26FAV01577;PF210075001801;PFI B17-92D;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;480;206,4
26FAV01577;PF210109001801;PFI 5302-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;60;103,8
26FAV01577;PF210127001801;PFI F-562024.02.KLQ;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;2220;6660
26FAV01577;PF220023001801;PC35480020CS;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;82,8
26FAV01577;PF220024001801;PC35500020CS;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;360;720
26FAV01577;PF220027001801;PC35520022CS;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;100;210
26FAV01577;PF220028001801;PC35550020CSR1;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;60;120,6
26FAV01577;PF220033001801;PC38540017CS;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;40,6
26FAV01577;PF230024001801;PW35660033CS;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;63,8
26FAV01577;PF230034001801;PW28610042CS;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;160;496
26FAV01577;PF230076001801;PW38690039/34CSM;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;183,2
26FAV01577;PF230098001801;PW39740039CSM;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;45,7
26FAV01577;PF230107001801;PW40750039CSM;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;19;84,74
26FAV01577;PF230119001801;PW42750037CS;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;37,3
26FAV01577;PF230122001801;PW42760039CS;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;18;66,96
26FAV01577;PF250031001801;PHU2212;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;5;92,95
26FAV01577;PF250159001801;PHU3276;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;3;57,03
26FAV01577;PF250234001801;PHU2518;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;58;1066,04
26FAV01577;PF400002001801;PFI NB-151;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;75;11,25
26FAV01577;PF610026001801;PHU430421HA0A;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;5;20,7
26FAV01577;PF610028001801;PHU90498610;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;4;20,32
26FAV01577;PF640009001801;PFI 204KRR2 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;180;183,6
26FAV01577;PF640011001801;PFI 205KRRB2 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;280;428,4
26FAV01577;PF640016001801;PFI 208KRR4 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;523;1181,98
26FAV01577;PF640017001801;PFI 209KRRB2 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;60;180,6
26FAV01577;PF640034001801;PFI GRA012NPPB-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;48,8
26FAV01577;PF640036001801;PFI GRA100NPPB-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;120;177,6
26FAV01577;PF640042001801;PFI GRA108NPPB-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;30;95,4
26FAV01577;PF640043001801;PFI GRAE20NPPB-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;26,8
26FAV01577;PF640044001801;PFI GRAE25NPPB-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;540;739,8
26FAV01577;PF640045001801;PFI GRAE30NPPB-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;36,8
26FAV01577;PF640047001801;PFI GRAE40NPPB-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;170;515,1
26FAV01577;PF640058001801;PFI RA100RRB;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;140;212,8
26FAV01577;PF640064001801;RAE25NPPB-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;120;174
26FAV01577;PF640068001801;RAE40NPPB-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;180;559,8
26FAV01577;PF640073001801;PFI UC205-16-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;220;266,2
26FAV01577;PF640078001801;PFI UC208-24-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;110;330
26FAV01577;PF640100001801;PFI GRA112NPPB-3L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;740;2930,4
26FAV01577;PF900031001801;PW42720038/35CSHDK;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;58,1
26FAV01577;PF900038001801;PW37680034CSK;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;156;708,24
26FAV01577;PF900040001801;PHU2228K;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;8;119,28
26FAV01577;PF900062001801;PW38690039/34CSMK;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;213,6
26FAV01577;PF900113001801;PHU57011K;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;11;196,68
26FAV01577;PF900450001801;PWK4533;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;30;92,4
26FAV01579;69021158101000;IB6203-2RS C3-454516 PFI;27/05/2026;14/07/2026;Transit;China;Jul;2026;FERSA;32435;324,35
26FAV01579;PF100001001801;PFI 30202;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;15,2
26FAV01579;PF100002001801;PFI 30203;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;1572;1131,84
26FAV01579;PF100010001801;PFI 30211;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;98;235,2
26FAV01579;PF100026001801;PFI 30307D;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;44
26FAV01579;PF100035001801;PFI 30303D;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;266;236,74
26FAV01579;PF100046001801;PFI 32213;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;42;179,34
26FAV01579;PF100067001801;PFI 33011;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;27,5
26FAV01579;PF100078001801;PFI 33109;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;22,7
26FAV01579;PF100094001801;PFI 33211;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;12;43,68
26FAV01579;PF100150001801;PFI 320/28X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;42,4
26FAV01579;PF100152001801;PFI 32004 X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;30,4
26FAV01579;PF100153001801;PFI 32005X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;17,4
26FAV01579;PF100154001801;PFI 32006X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;275;291,5
26FAV01579;PF100156001801;PFI 32008X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;24,8
26FAV01579;PF100157001801;PFI 32008XJA2;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;34,6
26FAV01579;PF100161001801;PFI 32011X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;21,3
26FAV01579;PF100163001801;PFI 32013X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;24,7
26FAV01579;PF100172001801;PFI 32024X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;2;21,32
26FAV01579;PF100178001801;PFI 37425/625;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;59
26FAV01579;PF100186001801;PFI 395A/4A;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;66
26FAV01579;PF100197001801;PFI 469/453X;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;5;17,15
26FAV01579;PF100203001801;PFI 575/572;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;16;114,08
26FAV01579;PF100221001801;PFI HM89249/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;30;86,1
26FAV01579;PF100233001801;PFI JP12049/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;25;188,75
26FAV01579;PF100234001801;PFI L44643/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;29,2
26FAV01579;PF100239001801;PFI L68149/11;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;38,4
26FAV01579;PF100249001801;PFI LM29749/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;20,6
26FAV01579;PF100252001801;PFI LM501349/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;848;1314,4
26FAV01579;PF100257001801;PFI LM67048/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;2480;2281,6
26FAV01579;PF100258001801;PFI LM78349/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;23,4
26FAV01579;PF100261001801;PFI M201047/11;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;108;274,32
26FAV01579;PF100264001801;PFI M86649/10;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;60;103,2
26FAV01579;PF100270001801;PFI U497/U460L;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;34,3
26FAV01579;PF110010001801;PSTA3072;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;620;1357,8
26FAV01579;PF110014001801;PTR070904;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;440;1931,6
26FAV01579;PF120019001801;PW49840048CSHD;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;328;1945,04
26FAV01579;PF120053001801;PW47880055CSHD;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;298
26FAV01579;PF120058001801;PW55900054CSHDM;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;320;2764,8
26FAV01579;PF120060001801;PW55900060CSHD;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;87;708,18
26FAV01579;PF200012001801;PFI R6202-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;90;19,8
26FAV01579;PF200017001801;PFI 16003 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;4,2
26FAV01579;PF200023001801;PFI 5202-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;120;177,6
26FAV01579;PF200031001801;PFI 5208-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;34,3
26FAV01579;PF200033001801;PFI 5210-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;330;1683
26FAV01579;PF200037001801;PFI 5306-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;452;1292,72
26FAV01579;PF200042001801;PFI 60/22-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;80;62,4
26FAV01579;PF200043001801;PFI 60/28-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;33,6
26FAV01579;PF200047001801;PFI 6001-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;100;18
26FAV01579;PF200066001801;PFI 6006-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;4620;2356,2
26FAV01579;PF200074001801;PFI 6013-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;41,6
26FAV01579;PF200076001801;PFI 6015-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;10;31,9
26FAV01579;PF200084001801;PFI 62/22-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;44;28,16
26FAV01579;PF200103001801;PFI 6202-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;28;6,72
26FAV01579;PF200104001801;PFI 6202-ZZ C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;250;57,5
26FAV01579;PF200105001801;PFI 6202-2RS 5/8 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;44;18,48
26FAV01579;PF200112001801;PFI 6203-2RS 3/4 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;18
26FAV01579;PF200114001801;PFI 6203-2RS D14 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;200;78
26FAV01579;PF200124001801;PFI 6205-2RS D1 C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;180;104,4
26FAV01579;PF200125001801;PFI 6205-2RS C0;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;100;45
26FAV01579;PF200131001801;PFI 6206-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;1620;1036,8
26FAV01579;PF200152001801;PFI 62205-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;40;26,8
26FAV01579;PF200211001801;PFI 6308-ZZ C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;30;64,8
26FAV01579;PF200221001801;PFI 6403-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;60;101,4
26FAV01579;PF200223001801;PFI 6801-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;120;28,8
26FAV01579;PF200224001801;PFI 6802-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;940;244,4
26FAV01579;PF200225001801;PFI 6803-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;20;4,2
26FAV01579;PF200226001801;PFI 6804-2RS C3;27/05/2026;14/07/2026;Transit;China;Jul;2026;PFI;60;23,4
